run_date,port,position_m,residence_time_min,compound,conc_ppmv
2006-12-01,Inlet,0.0,0.0,CH3SH,16.05
2006-12-01,Inlet,0.0,0.0,3-MB,39.64
2006-12-01,Inlet,0.0,0.0,2-MB,39.6
2006-12-01,Inlet,0.0,0.0,Hexanal,6.7
2006-12-01,Inlet,0.0,0.0,DMDS,1.68
2006-12-01,Port 1,0.15,0.2945243112740431,CH3SH,15.1
2006-12-01,Port 1,0.15,0.2945243112740431,3-MB,14.55
2006-12-01,Port 1,0.15,0.2945243112740431,2-MB,15.81
2006-12-01,Port 1,0.15,0.2945243112740431,Hexanal,4.1
2006-12-01,Port 1,0.15,0.2945243112740431,DMDS,1.97
2006-12-01,Port 2,0.25,0.49087385212340523,CH3SH,14.57
2006-12-01,Port 2,0.25,0.49087385212340523,3-MB,3.87
2006-12-01,Port 2,0.25,0.49087385212340523,2-MB,5.14
2006-12-01,Port 2,0.25,0.49087385212340523,Hexanal,0.0
2006-12-01,Port 2,0.25,0.49087385212340523,DMDS,2.03
2006-12-01,Port 3,0.35,0.6872233929727672,CH3SH,11.25
2006-12-01,Port 3,0.35,0.6872233929727672,3-MB,0.0
2006-12-01,Port 3,0.35,0.6872233929727672,2-MB,1.04
2006-12-01,Port 3,0.35,0.6872233929727672,Hexanal,0.0
2006-12-01,Port 3,0.35,0.6872233929727672,DMDS,2.2
2006-12-01,Outlet,0.5,0.9817477042468105,CH3SH,9.11
2006-12-01,Outlet,0.5,0.9817477042468105,3-MB,0.0
2006-12-01,Outlet,0.5,0.9817477042468105,2-MB,0.0
2006-12-01,Outlet,0.5,0.9817477042468105,Hexanal,0.0
2006-12-01,Outlet,0.5,0.9817477042468105,DMDS,2.3
2006-12-04,Inlet,0.0,0.0,CH3SH,20.03
2006-12-04,Inlet,0.0,0.0,3-MB,31.34
2006-12-04,Inlet,0.0,0.0,2-MB,36.748
2006-12-04,Inlet,0.0,0.0,Hexanal,4.66
2006-12-04,Inlet,0.0,0.0,DMDS,1.62
2006-12-04,Port 1,0.15,0.2945243112740431,CH3SH,16.36
2006-12-04,Port 1,0.15,0.2945243112740431,3-MB,12.15
2006-12-04,Port 1,0.15,0.2945243112740431,2-MB,12.8
2006-12-04,Port 1,0.15,0.2945243112740431,Hexanal,3.75
2006-12-04,Port 1,0.15,0.2945243112740431,DMDS,0.172
2006-12-04,Port 2,0.25,0.49087385212340523,CH3SH,13.61
2006-12-04,Port 2,0.25,0.49087385212340523,3-MB,3.15
2006-12-04,Port 2,0.25,0.49087385212340523,2-MB,4.53
2006-12-04,Port 2,0.25,0.49087385212340523,Hexanal,0.0
2006-12-04,Port 2,0.25,0.49087385212340523,DMDS,1.95
2006-12-04,Port 3,0.35,0.6872233929727672,CH3SH,11.68
2006-12-04,Port 3,0.35,0.6872233929727672,3-MB,0.0
2006-12-04,Port 3,0.35,0.6872233929727672,2-MB,0.69
2006-12-04,Port 3,0.35,0.6872233929727672,Hexanal,0.0
2006-12-04,Port 3,0.35,0.6872233929727672,DMDS,2.09
2006-12-04,Outlet,0.5,0.9817477042468105,CH3SH,8.32
2006-12-04,Outlet,0.5,0.9817477042468105,3-MB,0.0
2006-12-04,Outlet,0.5,0.9817477042468105,2-MB,0.0
2006-12-04,Outlet,0.5,0.9817477042468105,Hexanal,0.0
2006-12-04,Outlet,0.5,0.9817477042468105,DMDS,2.2
2006-12-11,Inlet,0.0,0.0,CH3SH,21.0
2006-12-11,Inlet,0.0,0.0,3-MB,18.0
2006-12-11,Inlet,0.0,0.0,2-MB,16.36
2006-12-11,Inlet,0.0,0.0,Hexanal,4.2
2006-12-11,Inlet,0.0,0.0,DMDS,0.0
2006-12-11,Port 1,0.15,0.2945243112740431,CH3SH,17.69
2006-12-11,Port 1,0.15,0.2945243112740431,3-MB,5.96
2006-12-11,Port 1,0.15,0.2945243112740431,2-MB,7.39
2006-12-11,Port 1,0.15,0.2945243112740431,Hexanal,1.0
2006-12-11,Port 1,0.15,0.2945243112740431,DMDS,1.73
2006-12-11,Port 2,0.25,0.49087385212340523,CH3SH,14.34
2006-12-11,Port 2,0.25,0.49087385212340523,3-MB,0.38
2006-12-11,Port 2,0.25,0.49087385212340523,2-MB,1.7
2006-12-11,Port 2,0.25,0.49087385212340523,Hexanal,0.0
2006-12-11,Port 2,0.25,0.49087385212340523,DMDS,2.0
2006-12-11,Port 3,0.35,0.6872233929727672,CH3SH,11.55
2006-12-11,Port 3,0.35,0.6872233929727672,3-MB,0.0
2006-12-11,Port 3,0.35,0.6872233929727672,2-MB,0.0
2006-12-11,Port 3,0.35,0.6872233929727672,Hexanal,0.0
2006-12-11,Port 3,0.35,0.6872233929727672,DMDS,2.0
2006-12-11,Outlet,0.5,0.9817477042468105,CH3SH,8.77
2006-12-11,Outlet,0.5,0.9817477042468105,3-MB,0.0
2006-12-11,Outlet,0.5,0.9817477042468105,2-MB,0.0
2006-12-11,Outlet,0.5,0.9817477042468105,Hexanal,0.0
2006-12-11,Outlet,0.5,0.9817477042468105,DMDS,2.16
